սեղմել,ել,նբ.
ծեծել,ել,նբ.
ջնջել,ել,նբ.
մաքրել,ել,նբ.
շփել,ել,նբ.,չբ.
լվանալ,ալ,նբ.
սրբել,ել,նբ.
ձգել,ել,նբ.
քաշել,ել,նբ.
հրել,ել,նբ.
նետել,ել,նբ.
կապել,ել,նբ.
կարել,ել,նբ.
ուռել,ել,չբ.
սառչել,ել,չբ.
վառել,ել,նբ.
այրել,ել,նբ.
կրակել,ել,նբ.,չբ.
վառվել,ել,չբ.
այրվել,ել,չբ.
փտել,ել,չբ.
նեխել,ել,չբ.
չորանալ,ալ,չբ.
քերծել,ել,նբ.
դավաճանել,ել,չբ.
գովել,ել,նբ.
զանգել,ել,նբ.,չբ.
զանգահարել,ել,նբ.,չբ.
այցելել,ել,չբ.,նբ.
անվանել,ել,նբ.
սանձել,ել,նբ.
արձակել,ել,նբ.
արյունահոսել,ել,չբ.
արձագանքել,ել,չբ.
հագնել,ել,նբ.
ներկել,ել,նբ.
որոճալ,ալ,նբ.
որոճել,ել,նբ.
ապստամբել,ել,չբ.
քավել,ել,նբ.
շինել,ել,նբ.
թարթել,ել,նբ.,չբ.
սանրել,ել,նբ.
քամել,ել,նբ.
օծել,ել,նբ.
որբանալ,ալ,նբ.
լուծել,ել,նբ.,չբ.
անձրևել,ել,չբ.,նբ.
պահպանել,ել,նբ.
խոսալ,ալ,նբ.,չբ.
չափել,ել,նբ.
միանալ,ալ,չբ.
մոտենալ,ալ,չբ.
կիսել,ել,նբ.
կտակել,ել,նբ.
փոխանակել,ել,նբ.
բղավել,ել,չբ.
հավելել,ել,նբ.
կթել,ել,նբ.
ցավել,ել,չբ.
ցավալ,ալ,չբ.
վիճել,ել,չբ.
ստիպել,ել,նբ.
թլփատել,ել,նբ.
կարողանալ,ալ,չբ.
թափել,ել,նբ.
կակազել,ել,չբ.
խնչել,ել,նբ.
կորչել,ել,չբ.
արդուկել,ել,նբ.
սկսել,ել,նբ.,չբ.
ածել,ել,նբ.
երդվել,ել,չբ.
հայհոյել,ել,նբ.
եփել,ել,նբ.,չբ.
գցել,ել,նբ.
զբաղվել,ել,չբ.
համակարգել,ել,նբ.
սրել,ել,նբ.
նախաճաշել,ել,չբ.
ամուսնանալ,ալ,չբ.
բանտարկել,ել,նբ.
երթալ,ալ,չբ.
խորխել,ել,չբ.
զոդել,ել,նբ.
սազել,ել,չբ.,նբ.
ընթերցել,ել,նբ.
բանել,ել,չբ.
ծառայել,ել,չբ.
գրադարձել,ել,նբ.
տառադարձել,ել,նբ.
մրցել,ել,չբ.
թողնել,ել,նբ.
բառնալ,ալ,նբ.
կենալ,ալ,չբ.
ելնել,ել,չբ.
