էղնել,ել
կենալ,ալ
ելնել,ել
հելնել,ել
երկկտտացնել,ել
տռել,ել
շռել,ել
մոռանալ,ալ
կաշառել,ել
նեղանալ,ալ
վաճառել,ել
սրճել,ել
կոտրել,ել
փչանալ,ալ
զարթնել,ել
արթնանալ,ալ
մնալ,ալ
կրկնել,ել
կպչել,ել
քաքել,ել
դարսել,ել
զարդարել,ել
ճաքել,ել
կիտել,ել
քցել,ել
պակասել,ել
փայլել,ել
զբոսնել,ել
արկանել,ել
բազմել,ել
հայել,ել
երկնչել,ել
թաքչել,ել
առաքել,ել
մարթել,ել
մերձենալ,ալ
համբերել,ել
անկանել,ել
ընգնել,ել
արկել,ել
ուսանել,ել
մեծանալ,ալ
հագել,ել
հագենալ,ալ
համել,ել
համենալ,ալ
բանալ,ալ
մածվել,ել
կառչել,ել
հանգել,ել
մատչել,ել
փախնել,ել
կորնչել,ել
կորել,ել
կործանել,ել
կործել,ել
ամաչել,ել
անիծել,ել
անջատել,ել
արածել,ել
զատել,ել
զեղծել,ել
լքել,ել
սուզել,ել
տարածել,ել
ծածանել,ել
սասանել,ել
փոխել,ել
խափանել,ել
կամենալ,ալ
գոհանալ,ալ
թուլանալ,ալ
հեռանալ,ալ
մերկանալ,ալ
սլանալ,ալ
բարձրանալ,ալ
բաղձալ,ալ
զղջալ,ալ
ըղձալ,ալ
խրոխտալ,ալ
ծուլանալ,ալ
մուրալ,ալ
ոխանալ,ալ
տաղտկանալ,ալ
տենչալ,ալ
կլանել,ել
սորալ,ալ
սորել,ել
խածատել,ել
խանձատել,ել
խոցոտել,ել
ճեմել,ել
շիկնել,ել
պայթել,ել
վախել,ել
արգելել,ել
զենել,ել
կիզել,ել
գերծել,ել
ստեղծել,ել
եղծանել,ել
եղծել,ել
ընդոստել,ել
ուռչել,ել
սառել,ել
երկայնել,ել
երկայնանալ,ալ
մեղկանալ,ալ
գուշակել,ել
փողոտել,ել
գթալ,ալ
փութալ,ալ
խիթալ,ալ
դողալ,ալ
եռալ,ալ
զեռալ,ալ
խեթալ,ալ
խոկալ,ալ
հոգալ,ալ
շողալ,ալ
ողբալ,ալ
ոռնալ,ալ
ջանալ,ալ
սգալ,ալ
սիգալ,ալ
ցնծալ,ալ
իջնել,ել
հարկանել,ել
ցուցանել,ել
անցնել,ել
հաճել,ել
ողորմել,ել
ընթանալ,ալ
շիջուցանել,ել
ուսուցանել,ել
ստամբակել,ել
մեղանչել,ել
բեկտել,ել
երգիծել,ել
երեւալ,ալ
հերքել,ել
զարմացնել,ել
զգածվել,ել
զգենալ,ալ
պեղել,ել
ընդոստնել,ել
ընթեռնել,ել
թաքցնել,ել
թաքնվել,ել
լոգանալ,ալ
լուցել,ել
խանդել,ել
խեթել,ել
խրտնել,ել
տժվժալ,ալ
կալնել,ել
կալել,ել
հյուծել,ել
կարենալ,ալ
բարձրաձայնել,ել
հասցնել,ել
հարել,ել
հեծնել,ել
հեղել,ել
հեղուսել,ել
հեռացնել,ել
հյուսել,ել
մատուցել,ել
մոլորվել,ել
համառել,ել
հարնչել,ել
հենել,ել
հեռել,ել
հոխորտալ,ալ
հորդել,ել
շաչել,ել
շիջել,ել
մտաբերել,ել
ոստնել,ել
պանծալ,ալ
ջեռուցել,ել
սխալվել,ել
սպրդել,ել
ցտել,ել
քաղցել,ել
խմբագրել,ել
ընտրվել,ել
ահագնանալ,ալ
օգնել,ել
չվել,ել
ընտրել,ել
գոհացնել,ել
քարշել,ել
քարոզել,ել
քծնել,ել
քննադատել,ել
քննարկել,ել
քոչել,ել
փլել,ել
փոխարինել,ել
ապաշխարել,ել
արհամարհել,ել
հեղեղել,ել
գիշատել,ել
նազել,ել
պաշտել,ել
հալածել,ել
բացականչել,ել
կարմրանալ,ալ
կարմրել,ել
տարբերել,ել
տեղեկանալ,ալ
տենալ,ալ
տեսնալ,ալ
տեւել,ել
ուղեկցել,ել
տնքալ,ալ
տպել,ել
տրամադրել,ել
միզել,ել
գոչել,ել
հպարտանալ,ալ
կնքել,ել
խարխալել,ել
խարխլել,ել
ագուցել,ել
ագուցանել,ել
ազազել,ել
ազազանալ,ալ
համոզել,ել
լռել,ել
քանդել,ել
ածանցել,ել
եպերել,ել
լուտալ,ալ
մեծարել,ել
կենդանանալ,ալ
ճաշել,ել
նախատել,ել
հեգել,ել
սրտառել,ել
դրվատել,ել
թրմել,ել
թրել,ել
հարբենալ,ալ
արբել,ել
աղարտել,ել
աղատել,ել
լքնել,ել
առոգել,ել
առոգանել,ել
ոգել,ել
ոռոգել,ել
արգահատել,ել
արմանալ,ալ
ընդարմանալ,ալ
պապանձել,ել
պապանձվել,ել
պապանձեցնել,ել
օթել,ել
գնչել,ել
բախել,ել
բաղխել,ել
բարբաջել,ել
բարբանջել,ել
բաղբանջել,ել
բաղբաջել,ել
բամբասել,ել
բաջաղել,ել
բարբառել,ել
բեկանել,ել
բեկել,ել
բզզալ,ալ
բլբլալ,ալ
բողոքել,ել
բուծել,ել
բուծանել,ել
բտել,ել
բուսանել,ել
բորբոքել,ել
գելել,ել
գեղգեղել,ել
գլել,ել
գլորել,ել
գայթակղել,ել
գլդորել,ել
