օգտագործել,{{hy-conj-ել|օգտագործ|mp=on}}
սարքել,{{hy-conj-ել|սարք|mp=on}}
պատրաստել,{{hy-conj-ել|պատրաստ|mp=on}}
շեշտել,{{hy-conj-ել|շեշտ|mp=on}}
տեղեկացնել,{{hy-conj-ցն-ել|տեղեկա}}
խնդրել,{{hy-conj-ել|խնդր|mp=on}}
կառավարել,{{hy-conj-ել|կառավար|mp=on}}
աղավաղել,{{hy-conj-ել|աղավաղ|mp=on}}
հոսել,{{hy-conj-el|հոս}}
պատռել,{{hy-conj-ել|պատռ|mp=on}}
գոռալ,{{hy-conj-ալ|գոռ}}
հանել,{{hy-conj-ել|հան|mp=on}}
կրել,{{hy-conj-ել|կր|mp=on}}
ավելացնել,{{hy-conj-ցն-ել|ավելա}}
պատմել,{{hy-conj-ել|mp=on}}
հայտնել,{{hy-conj-ել|mp=on}}
հայտարարել,{{hy-conj-ել|mp=on}}
համարել,{{hy-conj-ել|համար}}
վերցնել,{{hy-conj-ցն-ել|վեր}}
դնել,{{hy-conj-ել|դն||դր|pass=[[դրվել]]|imp1=[[դի՛ր]]|prohib1=[[մի՛]] [[դիր]]|aor=դրեց|mp=on}}
կախել,{{hy-conj-ել|կախ|mp=on}}
ժպտալ,{{hy-conj-ալ|ժպտ|caus=on}}
ծիծաղալ,{{hy-conj-ալ|ծիծաղ|caus=on}}
հանձնել,{{hy-conj-ել|հանձն|mp=on}}
արարել,{{hy-conj-ել|արար}}
լցնել,{{hy-conj-ցն-ել|լ}}
պատկերել,{{hy-conj-ել|mp=on}}
բացատրել,{{hy-conj-ել|բացատր|mp=on}}
հազալ,{{hy-conj-ալ|հազ|caus=on}}
մաղթել,{{hy-conj-ել|մաղթ|mp=on}}
փռշտալ,{{hy-conj-ալ|փռշտ|caus=on}}
լիզել,{{hy-conj-ել|լիզ}}
կատարել,{{hy-conj-ել|կատար|mp=on}}
կատաղել,{{hy-conj-el|կատաղ|caus=on}}
զննել,{{hy-conj-ել|զնն|mp=on}}
դառնալ,{{hy-conj-ալ|դառն||դարձ|caus=on|}}{{hy-conj-ալ|դառն||դառ|subject=դառնող|subjecttr=daṙnoł}}
քննել,{{hy-conj-ել|քնն|mp=on}}
վերադառնալ,{{hy-conj-ալ|վերադառն||վերադարձ|caus=on}}
զարմանալ,{{hy-conj-ալ|զարման||զարմաց|caus=on}}
գիտենալ,{{hy-conj-ալ|գիտեն||գիտեց}}
իմանալ,{{hy-conj-ալ|իման||իմաց|caus=on}}
փրկել,{{hy-conj-ել|փրկ|mp=on}}
տանել,{{hy-conj-ել|տան||տար|imp1=[[տա՛ր]]|prohib1=[[մի՛]] [[տար]]|pass=[[տարվել]]|note=note the irregular aorist stem and the imperative}}
գործել,{{hy-conj-ել|գործ|mp=on}}
առնել,{{hy-conj-ել|առն||առ|imp1=[[ա՛ռ]]|prohib1=[[մի՛]] [[առ]]|mp=on}}
կտրել,{{hy-conj-el|կտր}}
բռնաբարել,{{hy-conj-ել|բռանաբար|mp=on}}
ծխել,{{hy-conj-el|ծխ}}
արբենալ,{{hy-conj-ալ|արբեն||արբեց|caus=on}}
պաշտպանել,{{hy-conj-ել|պաշտպան|mp=on}}
